filename,vertex,edge,density,TRD_number,time(miliseconds),is_feasible,is_connected,number_of_components,status
Miscellaneous/GD00_c.txt,638,1020,0.00502,361.0,1194.00,True,True,0,OPTIMAL
Miscellaneous/GD02_a.txt,23,59,0.23320,4.0,7.00,True,True,0,OPTIMAL
Miscellaneous/GD95_b.txt,70,95,0.03934,30.0,83.00,True,True,0,OPTIMAL
Miscellaneous/685_bus.txt,685,1282,0.00547,364.0,301585.00,True,True,0,BEST FOUND
Miscellaneous/GD00_a.txt,352,384,0.00622,242.0,309.00,True,False,26,OPTIMAL
Miscellaneous/GD99_b.txt,64,125,0.06200,32.0,3798.00,True,True,0,OPTIMAL
Miscellaneous/662_bus.txt,662,906,0.00414,423.0,172002.00,True,True,0,OPTIMAL
Miscellaneous/GD96_a.txt,1096,1677,0.00279,687.0,300719.00,True,True,0,BEST FOUND
Miscellaneous/08blocks.txt,300,576,0.01284,24.0,81.00,True,False,8,OPTIMAL
Miscellaneous/S10PI_n.txt,682,689,0.00297,642.0,300643.00,True,True,0,BEST FOUND
Miscellaneous/Tina_DisCal.txt,11,32,0.58182,4.0,5.00,True,True,0,OPTIMAL
Miscellaneous/GD95_c.txt,62,144,0.07615,23.0,129.00,True,True,0,OPTIMAL
Miscellaneous/GD95_a.txt,36,56,0.08889,24.0,266.00,True,True,0,OPTIMAL
Miscellaneous/GD96_b.txt,111,193,0.03161,34.0,1715.00,True,True,0,OPTIMAL
Miscellaneous/GD06_theory.txt,101,190,0.03762,20.0,912.00,True,True,0,OPTIMAL
Miscellaneous/Tina_AskCal.txt,11,25,0.45455,4.0,5.00,True,True,0,OPTIMAL
Miscellaneous/Trefethen_20b.txt,19,64,0.37427,7.0,313.00,True,True,0,OPTIMAL
Miscellaneous/494_bus.txt,494,586,0.00481,349.0,2612.00,True,True,0,OPTIMAL
Miscellaneous/Hamrle1.txt,32,90,0.18145,12.0,318.00,True,True,0,OPTIMAL
Miscellaneous/SmallW.txt,233,994,0.03678,18.0,109.00,True,True,0,OPTIMAL
Miscellaneous/GD02_b.txt,80,232,0.07342,31.0,2794.00,True,True,0,OPTIMAL
Miscellaneous/GD97_b.txt,46,132,0.12754,13.0,51.00,True,True,0,OPTIMAL
Miscellaneous/GD98_c.txt,112,168,0.02703,79.0,301069.00,True,True,0,BEST FOUND
Miscellaneous/Trefethen_200b.txt,199,1337,0.06786,44.0,300229.00,True,True,0,BEST FOUND
Miscellaneous/Erdos981.txt,445,1381,0.01398,214.0,1078.00,True,False,4,OPTIMAL
Miscellaneous/GD01_c.txt,33,135,0.25568,11.0,130.00,True,True,0,OPTIMAL
Miscellaneous/GD98_b.txt,121,132,0.01818,87.0,98.00,True,True,0,OPTIMAL
Miscellaneous/Trefethen_300.txt,300,2189,0.04881,64.0,300390.00,True,True,0,BEST FOUND
Miscellaneous/USAir97.txt,332,2126,0.03869,73.0,323.00,True,True,0,OPTIMAL
Miscellaneous/Harvard500.txt,500,2043,0.01638,61.0,426.00,True,True,0,OPTIMAL
Miscellaneous/Stranke94.txt,10,45,1.00000,3.0,16.00,True,True,0,OPTIMAL
Miscellaneous/Trefethen_150.txt,150,945,0.08456,34.0,300335.00,True,True,0,BEST FOUND
Miscellaneous/Ragusa18.txt,23,51,0.20158,10.0,16.00,True,True,0,OPTIMAL
Miscellaneous/GlossGT.txt,67,118,0.05337,33.0,118.00,True,False,4,OPTIMAL
Miscellaneous/EX2.txt,560,4368,0.02791,122.0,300388.00,True,True,0,BEST FOUND
Miscellaneous/CAG_mat72.txt,72,678,0.26526,10.0,112.00,True,True,0,OPTIMAL
Miscellaneous/Ragusa16.txt,24,58,0.21014,12.0,16.00,True,True,0,OPTIMAL
Miscellaneous/1138_bus.txt,1138,1458,0.00225,778.0,3240.00,True,True,0,OPTIMAL
Miscellaneous/L.txt,956,1820,0.00399,601.0,300374.00,True,True,0,BEST FOUND
Miscellaneous/GD97_c.txt,452,460,0.00451,82.0,304.00,True,False,3,OPTIMAL
Miscellaneous/GD96_d.txt,180,228,0.01415,114.0,96.00,True,True,0,OPTIMAL
Miscellaneous/Chebyshev1.txt,261,1542,0.04545,3.0,146.00,True,True,0,OPTIMAL
Miscellaneous/Tina_DisCog.txt,11,36,0.65455,4.0,6.00,True,True,0,OPTIMAL
Miscellaneous/CAG_mat364.txt,364,10474,0.15854,16.0,746.00,True,True,0,OPTIMAL
Miscellaneous/EX1.txt,560,4368,0.02791,123.0,300453.00,True,True,0,BEST FOUND
Miscellaneous/Tina_AskCog.txt,11,27,0.49091,4.0,6.00,True,True,0,OPTIMAL
Miscellaneous/GD96_c.txt,65,125,0.06010,37.0,16743.00,True,True,0,OPTIMAL
Miscellaneous/Sandi_authors.txt,86,124,0.03393,42.0,158.00,True,True,0,OPTIMAL
Miscellaneous/GD01_b.txt,18,26,0.16993,12.0,103.00,True,True,0,OPTIMAL
Miscellaneous/G11.txt,800,1600,0.00501,420.0,300340.00,True,True,0,BEST FOUND
Miscellaneous/LF10.txt,18,32,0.20915,11.0,87.00,True,True,0,OPTIMAL
Miscellaneous/DK01R.txt,903,5641,0.01385,269.0,301034.00,True,False,3,BEST FOUND
Miscellaneous/GD98_a.txt,38,46,0.06543,18.0,43.00,True,False,4,OPTIMAL
Miscellaneous/G10.txt,800,19176,0.06000,70.0,301190.00,True,True,0,BEST FOUND
Miscellaneous/GD97_a.txt,84,166,0.04762,46.0,300194.00,True,True,0,BEST FOUND
Miscellaneous/LFAT5.txt,14,16,0.17582,12.0,27.00,True,False,3,OPTIMAL
Miscellaneous/GD99_c.txt,105,120,0.02198,78.0,389.00,True,True,0,OPTIMAL
Miscellaneous/CSphd.txt,1882,1740,0.00098,1127.0,3499.00,True,False,168,OPTIMAL
Miscellaneous/Trefethen_200.txt,200,1345,0.06759,44.0,300263.00,True,True,0,BEST FOUND
Miscellaneous/Erdos971.txt,433,1314,0.01405,212.0,889.00,True,False,3,OPTIMAL
Miscellaneous/M20PI_n.txt,1182,1198,0.00172,1228.0,300430.00,True,True,0,BEST FOUND
Miscellaneous/G1.txt,800,19176,0.06000,72.0,301819.00,True,True,0,BEST FOUND
Miscellaneous/Erdos991.txt,454,1417,0.01378,221.0,1275.00,True,False,5,OPTIMAL
2mir_test: why does constraint not exist ?
